# 学校名は大会当時の名称で記録する。改名前後の同一校は aliases.csv に「旧名,現名」を登録すると
# ランキング上は同一校として合算され、最新の校名で表示される(例: 光星学院→八戸学院光星)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,大会,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
2009,夏,中京大中京(愛知),日本文理(新潟),県岐阜商(岐阜),花巻東(岩手),明豊(大分),立正大淞南(島根),帝京(東東京),都城商(宮崎),10,9
2010,春,興南(沖縄),日大三(東京),広陵(広島),大垣日大(岐阜),敦賀気比(福井),中京大中京(愛知),帝京(東京),北照(北海道),10,5
2010,夏,興南(沖縄),東海大相模(神奈川),報徳学園(兵庫),成田(千葉),関東一(東東京),聖光学院(福島),九州学院(熊本),新潟明訓(新潟),13,1
2011,春,東海大相模(神奈川),九州国際大付(福岡),日大三(東京),履正社(大阪),北海(北海道),加古川北(兵庫),智弁和歌山(和歌山),鹿児島実(鹿児島),6,1
2011,夏,日大三(西東京),光星学院(青森),作新学院(栃木),関西(岡山),東洋大姫路(兵庫),如水館(広島),智弁学園(奈良),習志野(千葉),11,0
2012,春,大阪桐蔭(大阪),光星学院(青森),健大高崎(群馬),関東一(東京),浦和学院(埼玉),鳴門(徳島),愛工大名電(愛知),横浜(神奈川),7,3
2012,夏,大阪桐蔭(大阪),光星学院(青森),明徳義塾(高知),東海大甲府(山梨),桐光学園(神奈川),天理(奈良),作新学院(栃木),倉敷商(岡山),3,0
2013,春,浦和学院(埼玉),済美(愛媛),敦賀気比(福井),高知(高知),聖光学院(福島),北照(北海道),仙台育英(宮城),県岐阜商(岐阜),17,1
2013,夏,前橋育英(群馬),延岡学園(宮崎),日大山形(山形),花巻東(岩手),鳴門(徳島),明徳義塾(高知),常総学院(茨城),富山第一(富山),4,3
2014,春,龍谷大平安(京都),履正社(大阪),豊川(愛知),佐野日大(栃木),福知山成美(京都),沖縄尚学(沖縄),明徳義塾(高知),桐生第一(群馬),6,2
2014,夏,大阪桐蔭(大阪),三重(三重),日本文理(新潟),敦賀気比(福井),沖縄尚学(沖縄),八戸学院光星(青森),健大高崎(群馬),聖光学院(福島),4,3
2015,春,敦賀気比(福井),東海大四(北海道),大阪桐蔭(大阪),浦和学院(埼玉),常総学院(茨城),静岡(静岡),県岐阜商(岐阜),健大高崎(群馬),3,1
2015,夏,東海大相模(神奈川),仙台育英(宮城),早稲田実(西東京),関東一(東東京),九州国際大付(福岡),花咲徳栄(埼玉),秋田商(秋田),興南(沖縄),10,6
2016,春,智弁学園(奈良),高松商(香川),龍谷大平安(京都),秀岳館(熊本),滋賀学園(滋賀),明石商(兵庫),木更津総合(千葉),海星(長崎),2,1
2016,夏,作新学院(栃木),北海(南北海道),明徳義塾(高知),秀岳館(熊本),常総学院(茨城),鳴門(徳島),聖光学院(福島),木更津総合(千葉),7,1
2017,春,大阪桐蔭(大阪),履正社(大阪),報徳学園(兵庫),秀岳館(熊本),盛岡大付(岩手),福岡大大濠(福岡),健大高崎(群馬),東海大福岡(福岡),8,3
2017,夏,花咲徳栄(埼玉),広陵(広島),天理(奈良),東海大菅生(西東京),三本松(香川),明豊(大分),仙台育英(宮城),盛岡大付(岩手),14,4
2018,春,大阪桐蔭(大阪),智弁和歌山(和歌山),東海大相模(神奈川),三重(三重),日本航空石川(石川),創成館(長崎),花巻東(岩手),星稜(石川),5,2
2018,夏,大阪桐蔭(北大阪),金足農(秋田),日大三(西東京),済美(愛媛),浦和学院(南埼玉),報徳学園(東兵庫),下関国際(山口),近江(滋賀),13,2
2019,春,東邦(愛知),習志野(千葉),明豊(大分),明石商(兵庫),市和歌山(和歌山),龍谷大平安(京都),筑陽学園(福岡),智弁和歌山(和歌山),6,0
2019,夏,履正社(大阪),星稜(石川),明石商(兵庫),中京学院大中京(岐阜),八戸学院光星(青森),作新学院(栃木),仙台育英(宮城),関東一(東東京),5,3
2021,春,東海大相模(神奈川),明豊(大分),天理(奈良),中京大中京(愛知),仙台育英(宮城),福岡大大濠(福岡),智弁学園(奈良),東海大菅生(東京),3,2
2021,夏,智弁和歌山(和歌山),智弁学園(奈良),近江(滋賀),京都国際(京都),敦賀気比(福井),石見智翠館(島根),明徳義塾(高知),神戸国際大付(兵庫),9,2
2022,春,大阪桐蔭(大阪),近江(滋賀),浦和学院(埼玉),国学院久我山(東京),九州国際大付(福岡),金光大阪(大阪),星稜(石川),市和歌山(和歌山),18,1
2022,夏,仙台育英(宮城),下関国際(山口),聖光学院(福島),近江(滋賀),愛工大名電(愛知),高松商(香川),大阪桐蔭(大阪),九州学院(熊本),8,1
2023,春,山梨学院(山梨),報徳学園(兵庫),広陵(広島),大阪桐蔭(大阪),作新学院(栃木),専大松戸(千葉),東海大菅生(東京),仙台育英(宮城),7,3
2023,夏,慶応(神奈川),仙台育英(宮城),神村学園(鹿児島),土浦日大(茨城),沖縄尚学(沖縄),八戸学院光星(青森),おかやま山陽(岡山),花巻東(岩手),8,2
2024,春,健大高崎(群馬),報徳学園(兵庫),星稜(石川),中央学院(千葉),阿南光(徳島),山梨学院(山梨),青森山田(青森),大阪桐蔭(大阪),3,2
2024,夏,京都国際(京都),関東一(東東京),神村学園(鹿児島),青森山田(青森),東海大相模(神奈川),滋賀学園(滋賀),智弁学園(奈良),大社(島根),2,1
2025,春,横浜(神奈川),智弁和歌山(和歌山),健大高崎(群馬),浦和実(埼玉),花巻東(岩手),西日本短大付(福岡),広島商(広島),聖光学院(福島),11,4
2025,夏,沖縄尚学(沖縄),日大三(西東京),県岐阜商(岐阜),山梨学院(山梨),京都国際(京都),関東一(東東京),横浜(神奈川),東洋大姫路(兵庫),3,1
